neighbourhood_id,name,residents_total,lim_at_pct,lico_at_pct,lim_at_people,lico_at_people,residents_total,residents_far_500,share_far_500,lim_at_people_far_500,lico_at_people_far_500
2,Central River Heights,3205,0.0327613104524181,0.0171606864274571,105.0,55.0,3205,3205,1.0,105.0,55.0
7,Montcalm,5520,0.3143115942028985,0.2916666666666667,1734.9999999999998,1610.0,5520,2283,0.41358695652173916,717.5733695652174,665.875
17,Vista,1370,0.0581818181818181,0.04,79.70909090909079,54.800000000000004,1370,513,0.37445255474452555,29.84727272727268,20.520000000000003
19,Ebby-Wentworth,655,0.1908396946564885,0.1221374045801526,124.99999999999997,79.99999999999996,655,371,0.566412213740458,70.80152671755724,45.31297709923662
21,Shaughnessy Park,2730,0.1135531135531135,0.0714285714285714,309.99999999999983,194.99999999999991,2730,2026,0.7421245421245422,230.05860805860794,144.71428571428567
24,Garden City,6475,0.0787644787644787,0.0486486486486486,509.9999999999996,314.9999999999997,6475,4894,0.7558301158301158,385.4733590733588,238.08648648648628
25,Weston Shops,0,,,,,0,0,,,
27,Varsity View,2535,0.0788954635108481,0.0532544378698224,199.99999999999994,134.9999999999998,2535,1956,0.7715976331360946,154.3195266272189,104.16568047337262
28,Richmond West,8190,0.1391941391941392,0.1043956043956044,1140.0,855.0,8190,7888,0.9631257631257631,1097.96336996337,823.4725274725275
30,Whyte Ridge,7295,0.0541466758053461,0.0349554489376285,394.99999999999983,254.99999999999991,7295,6906,0.9466758053461275,373.9369431117202,241.40233036326242
31,Jameswood,1320,0.0339622641509433,0.030188679245283,44.830188679245154,39.849056603773555,1320,1320,1.0,44.830188679245154,39.849056603773555
36,Daniel McIntyre,9400,0.1915912719531665,0.1154869611495476,1800.9579563597651,1085.5774348057473,9400,5575,0.5930851063829787,1068.1213411389033,643.8398084087278
37,Waverley Heights,5150,0.1106796116504854,0.1097087378640776,569.9999999999998,564.9999999999997,5150,3585,0.6961165048543689,396.7864077669901,393.3058252427182
38,Colony,925,0.3243243243243243,0.2702702702702703,299.99999999999994,250.0,925,925,1.0,299.99999999999994,250.0
41,West Broadway,5590,0.3921217547000895,0.2784243509400179,2191.9606087735,1556.3921217547,5590,2919,0.5221824686940966,1144.603401969561,812.7206803939122
43,Worthington,5715,0.2563429571303587,0.1679790026246719,1465.0,960.0,5715,4498,0.7870516185476816,1153.0306211723534,755.5695538057743
45,Woodhaven,945,0.0,0.0,0.0,0.0,945,945,1.0,0.0,0.0
47,Linden Woods,9410,0.0982996811902231,0.0648246546227417,924.9999999999994,609.9999999999994,9410,7939,0.8436769394261424,780.4011689691813,514.6429330499464
54,Leila North,3165,0.1011058451816745,0.0679304897314376,319.9999999999998,215.0,3165,3041,0.9608214849921011,307.4628751974721,206.57661927330173
55,Margaret Park,2315,0.1293103448275862,0.0668103448275862,299.35344827586204,154.66594827586206,2315,2315,1.0,299.35344827586204,154.66594827586206
57,Brockville,1525,0.0816993464052287,0.0359477124183006,124.59150326797378,54.82026143790842,1525,1525,1.0,124.59150326797378,54.82026143790842
58,South River Heights,2600,0.0673076923076923,0.025,175.0,65.0,2600,2600,1.0,175.0,65.0
59,Grant Park,2950,0.1457627118644067,0.1033898305084745,429.9999999999998,304.9999999999998,2950,957,0.32440677966101694,139.4949152542372,98.9440677966101
62,Tuxedo,2060,0.0340632603406326,0.024330900243309,70.17031630170317,50.12165450121654,2060,1923,0.933495145631068,65.5036496350365,46.788321167883204
63,Silver Heights,5405,0.0730129390018484,0.0480591497227356,394.63493530499056,259.7597042513859,5405,3964,0.7333950046253469,289.42329020332704,190.5064695009239
65,Lord Selkirk Park,1360,0.4761904761904761,0.2893772893772894,647.6190476190475,393.5531135531136,1360,1360,1.0,647.6190476190475,393.5531135531136
76,Eric Coy,2220,0.0383747178329571,0.0225733634311512,85.19187358916477,50.11286681715566,2220,2216,0.9981981981981982,85.03837471783295,50.02257336343106
79,Centennial,3260,0.4371165644171779,0.25,1425.0,815.0,3260,796,0.2441717791411043,347.9447852760736,199.0
81,Marlton,705,0.0780141843971631,0.0212765957446808,54.99999999999998,14.999999999999963,705,578,0.8198581560283688,45.09219858156026,12.297872340425501
83,William Whyte,6475,0.3212355212355212,0.1969111969111969,2079.9999999999995,1275.0,6475,5497,0.848957528957529,1765.83166023166,1082.4208494208494
87,Glendale,1180,0.1234042553191489,0.1063829787234042,145.61702127659572,125.53191489361696,1180,1180,1.0,145.61702127659572,125.53191489361696
88,South Portage,2330,0.242489270386266,0.1845493562231759,564.9999999999998,429.99999999999983,2330,0,0.0,0.0,0.0
89,Logan-C.P.R.,305,0.5409836065573771,0.180327868852459,165.0,54.99999999999999,305,305,1.0,165.0,54.99999999999999
93,Wilkes South,815,0.0,0.0,0.0,0.0,815,815,1.0,0.0,0.0
95,Burrows-Keewatin,2800,0.2379248658318425,0.0840787119856887,666.189624329159,235.42039355992836,2800,2800,1.0,666.189624329159,235.42039355992836
96,Ridgewood South,1690,0.0710059171597633,0.0502958579881656,119.99999999999999,84.99999999999986,1690,1690,1.0,119.99999999999999,84.99999999999986
98,Central Park,3805,0.4638633377135348,0.2864651773981603,1764.9999999999998,1090.0,3805,0,0.0,0.0,0.0
99,Dufferin,2320,0.2844827586206896,0.168103448275862,659.9999999999999,389.99999999999983,2320,2320,1.0,659.9999999999999,389.99999999999983
110,Sargent Park,5985,0.0785296574770259,0.0384294068504594,470.0,229.9999999999995,5985,4391,0.7336675020885547,344.8237259816207,168.7435254803672
