X,Y,name,store_name,street,city,province,postal_cod,country,source,result_num,osm_id,display_na,category,type,latlong,audit_corrected
-97.0947985,49.838668,Sobeys,St. Annes Sobeys,1939 Abinojii Mikanah,Winnipeg,Manitoba,R2M5S1,Canada,https://www.sobeys.com/store-locator,0,51867819,"Sobeys, 1939, Abinojii Mikanah, Worthington, St. Vital, Winnipeg, Manitoba, R2M 5S1, Canada",shop,supermarket,"49.838668,-97.0947985",n
-97.09550036,49.810642,Sobeys,Sobeys St. Vital,1500 Dakota Street,Winnipeg,Manitoba,R2N3Y7,Canada,https://www.sobeys.com/store-locator,0,575141422,"Sobeys, 1500, Rue Dakota Street, River Park South, St. Norbert - Seine River, Winnipeg, Manitoba, R2N 1R3, Canada",shop,supermarket,"49.810642,-97.09550035996004",n
-97.16505025,49.8523019,Sobeys,Sobeys Grant Park,1150 Taylor Avenue,Winnipeg,Manitoba,R3M3Z4,Canada,https://www.sobeys.com/store-locator,0,58780618,"1150, Taylor Avenue, Grant Park Festival, River Heights–Fort Garry, River Heights - Fort Garry, Winnipeg, Manitoba, R3M 3Z4, Canada",building,retail,"49.8523019,-97.165050251143",n
-97.15500344,49.78950395,Sobeys,Sobeys Pembina,2850 Pembina Highway,Winnipeg,Manitoba,R3T6E4,Canada,https://www.sobeys.com/store-locator,0,371608279,"2850, Pembina Highway, Fort Richmond, St. Norbert - Seine River, Winnipeg, Manitoba, R3T 2J1, Canada",building,retail,"49.78950395,-97.15500343810812",n
-97.2037793,49.8213805,Sobeys,Sobeys Kenaston,1660 Kenaston Boulevard,Winnipeg,Manitoba,R3P2M6,Canada,https://www.sobeys.com/store-locator,0,677987485,"Sobeys, 1660, Kenaston Boulevard, Charleswood - Tuxedo - Westwood, Winnipeg, Manitoba, R3P 2M4, Canada",shop,supermarket,"49.8213805,-97.2037793",n
-97.3111672,49.885793,Sobeys,Sobeys Unicity,3635 Portage Avenue,Winnipeg,Manitoba,R3K2G6,Canada,https://www.sobeys.com/store-locator,0,99048757,"Sobeys, 3635, Portage Avenue, Unicity Shopping Centre, Crestview, St. James, Winnipeg, Manitoba, R3K 2G6, Canada",shop,supermarket,"49.885793,-97.3111672",n
-97.12219032,49.9335934,IGA,IGA Main St,1650 Main Street,Winnipeg,Manitoba,R2V 1Y9,Canada,https://west.iga.ca/store-locator/,0,83576900,"IGA, 1650, Main Street, Jefferson, West Kildonan, Mynarski, Winnipeg, Manitoba, R2V 1Y9, Canada",building,retail,"49.9335934,-97.12219031681343",n
-97.1657136,49.8575422,Red-River Co-op,Grant Park,1120 Grant Avenue,Winnipeg,Manitoba,,Canada,https://www.redriverco-op.crs/sites/redriver/local/detail/food-stores,0,354706930,"McNally Robinson, 1120, Grant Avenue, Grant Park, River Heights–Fort Garry, River Heights - Fort Garry, Winnipeg, Manitoba, R3M 2A6, Canada",shop,books,"49.8575422,-97.1657136",n
-97.22144395,49.84365095,Red-River Co-op,Seasons,755 Sterling Lyon Parkway,Winnipeg,Manitoba,,Canada,https://www.redriverco-op.crs/sites/redriver/local/detail/food-stores,0,1045104096,"Red River Co-op Food Store, 755, Sterling Lyon Parkway, Charleswood - Tuxedo - Westwood, Winnipeg, Manitoba, R3P 1H1, Canada",shop,supermarket,"49.84365095,-97.22144394885225",n
-97.07339294,49.85452835,Red-River Co-op,Southdale,77 Vermillion Road,Winnipeg,Manitoba,,Canada,https://www.redriverco-op.crs/sites/redriver/local/detail/food-stores,0,149505343,"Co-op, 77, Vermillion Road, Southdale, St. Boniface, Winnipeg, Manitoba, R2J 4A9, Canada",shop,supermarket,"49.85452835,-97.07339294277179",n
-97.1559566,49.7670012,Red-River Co-op,St Norbert,3477 Pembina Highway,Winnipeg,Manitoba,,Canada,https://www.redriverco-op.crs/sites/redriver/local/detail/food-stores,0,73681457,"Red River Co-op Food Store, 3477, Pembina Highway, St. Norbert, St. Norbert - Seine River, Winnipeg, Manitoba, R3V 1A1, Canada",shop,supermarket,"49.767001199999996,-97.1559566",n
-97.10639591,49.82821835,Red-River Co-op,St Vital,850 Dakota Street,Winnipeg,Manitoba,,Canada,https://www.redriverco-op.crs/sites/redriver/local/detail/food-stores,0,289415354,"Red River Co-op Food Store, 850, Rue Dakota Street, St. Vital Centre, St. Vital, Winnipeg, Manitoba, R2M 4Z2, Canada",building,retail,"49.82821835,-97.10639591209593",n
-97.19890211,49.9000278,Real Canadian Superstore,REAL CANADIAN SUPERSTORE SARGENT AVENUE,1385 Sargent Avenue,Winnipeg,Manitoba,R3E 3P8,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",0,96522274,"Real Canadian Superstore, 1385, Sargent Avenue, St. James Industrial, St. James, Winnipeg, Manitoba, R3H 0M1, Canada",shop,supermarket,"49.900027800000004,-97.19890210945056",n
-97.10292132,49.8577786,Real Canadian Superstore,REAL CANADIAN SUPERSTORE ST ANNE'S ROAD,215 St Anne's Road,Winnipeg,Manitoba,R2M 2Z9,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",0,238524506,"Real Canadian Superstore, 215, Saint Anne's Road, Glenwood, St. Vital, Winnipeg, Manitoba, R2M 3P5, Canada",shop,supermarket,"49.8577786,-97.10292131709272",n
-97.06640917,49.8942628,Real Canadian Superstore,REAL CANADIAN SUPERSTORE REGENT AVENUE,1578 Regent Avenue West,Winnipeg,Manitoba,R2C 3B4,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",0,289480847,"Real Canadian Superstore, 1578, Regent Avenue West, Regent, Transcona, Winnipeg, Manitoba, R2C 3B4, Canada",shop,supermarket,"49.8942628,-97.06640917080327",n
-97.06970155,49.9281076,Real Canadian Superstore,REAL CANADIAN SUPERSTORE GATEWAY ROAD,1035 Gateway Road,Winnipeg,Manitoba,R2K 4C1,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",0,83572142,"Real Canadian Superstore, 1035, Gateway Road, Valley Gardens, Elmwood - East Kildonan, Winnipeg, Manitoba, R2K 4C1, Canada",shop,supermarket,"49.928107600000004,-97.06970155128133",n
-97.15587742,49.9494166,Real Canadian Superstore,REAL CANADIAN SUPERSTORE MCPHILLIPS STREET,2132 Mcphillips Street,Winnipeg,Manitoba,R2V 3C8,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",0,71798472,"Real Canadian Superstore, 2132, McPhillips Street, Leila–McPhillips Triangle, Old Kildonan, Winnipeg, Manitoba, R2V 3P4, Canada",shop,supermarket,"49.9494166,-97.15587741503008",n
-97.20379109,49.8564563,Real Canadian Superstore,REAL CANADIAN SUPERSTORE KENASTON BLVD,550 Kenaston Boulevard,Winnipeg,Manitoba,R3N 2A1,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",0,72942111,"Real Canadian Superstore, 550, Kenaston Boulevard, Mathers, River Heights - Fort Garry, Winnipeg, Manitoba, R3N 2A1, Canada",shop,supermarket,"49.856456300000005,-97.2037910883308",n
-97.1637019,49.7999021,Real Canadian Superstore,REAL CANADIAN SUPERSTORE BISON DRIVE,80 Bison Drive,Winnipeg,Manitoba,R3T 4Z7,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",0,40997347,"Real Canadian Superstore, 80, Bison Drive, Fairfield Park, Waverley West, Winnipeg, Manitoba, R3T 4Z7, Canada",shop,supermarket,"49.7999021,-97.16370189999999",n
-97.28835863,49.8827339,Real Canadian Superstore,REAL CANADIAN SUPERSTORE PORTAGE AVENUE,3193 Portage Avenue,Winnipeg,Manitoba,R3K 0W4,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",0,289740243,"Real Canadian Superstore, 3193, Portage Avenue, Sturgeon Creek, St. James, Winnipeg, Manitoba, R3K 0Y5, Canada",shop,supermarket,"49.8827339,-97.28835862604474",n
-97.15762087,49.94505655,FreshCo,FreshCo Jefferson & McPhillips,920 Jefferson Avenue,Winnipeg,Manitoba,R2P1W1,Canada,https://www.freshco.com/store-locator,0,71798503,"FreshCo, 920, Jefferson Avenue, Leila–McPhillips Triangle, Old Kildonan, Winnipeg, Manitoba, R2P 1W1, Canada",shop,supermarket,"49.945056550000004,-97.15762087017228",n
-97.15915119,49.89580155,FreshCo,FreshCo Sargent,600 Sargent Avenue,Winnipeg,Manitoba,R3E0A1,Canada,https://www.freshco.com/store-locator,0,128694639,"FreshCo, 600, Sargent Avenue, Daniel McIntyre, Sargent Park, Daniel McIntyre, Winnipeg, Manitoba, R3E 2P4, Canada",shop,supermarket,"49.89580155,-97.15915118856732",n
-97.10316175,49.92683375,FreshCo,Freshco Henderson,731 Henderson Highway,Winnipeg,Manitoba,R2K2K4,Canada,https://www.freshco.com/store-locator,0,776383091,"FreshCo, 731, Henderson Highway, Munroe West, Elmwood - East Kildonan, Winnipeg, Manitoba, R2K 2K4, Canada",shop,supermarket,"49.92683375,-97.1031617536932",n
-97.0697177,49.9010799,FreshCo,FreshCo Regent & Lagimodiere,1615 Regent Avenue West,Winnipeg,Manitoba,R2C5C6,Canada,https://www.freshco.com/store-locator,0,83576109,"1615, Regent Avenue West, Kildonan Crossing, Elmwood - East Kildonan, Winnipeg, Manitoba, R2C 4H4, Canada",building,yes,"49.9010799,-97.0697177",n
-97.10147366,49.855285,FreshCo,FreshCo Niakwa Village,2 Alpine Avenue,Winnipeg,Manitoba,R2M0Y5,Canada,https://www.freshco.com/store-locator,0,272195818,"FreshCo, 2, Alpine Avenue, Alpine Place, St. Vital, Winnipeg, Manitoba, R2M 5J5, Canada",shop,supermarket,"49.855284999999995,-97.10147365981345",n
