X,Y,name,store_name,street,city,province,postal_cod,country,source,result_num,osm_id,display_na,category,type,latlong,audit_corrected
-97.1690458,49.9539915,Lucky Supermarket,Lucky Supermarket,1303 Jefferson Avenue,Winnipeg,Manitoba,,Canada,google maps,0,6093611785,"Lucky's Supermarket, 1303, Jefferson Avenue, The Maples, Old Kildonan, Winnipeg, Manitoba, R2P 1S7, Canada",amenity,marketplace,"49.9539915,-97.1690458",n
-97.1731403,49.9071188,Lucky Supermarket,Lucky Supermarket,1051 Winnipeg Avenue,Winnipeg,Manitoba,,Canada,google maps,0,1044672949,"LUCKY Superrmarket, 1051, Winnipeg Avenue, Point Douglas, Winnipeg, Manitoba, R3E 0S2, Canada",shop,supermarket,"49.907118800000006,-97.17314029645692",n
-97.1454685,49.9011595,Young's Trading,Young's Trading,397 William Avenue,Winnipeg,Manitoba,,Canada,google maps,0,843616500,"Young's Trading, 397, William Avenue, Centennial Neighbourhood, West Alexander, Point Douglas, Winnipeg, Manitoba, R3A 0J6, Canada",shop,supermarket,"49.9011595,-97.14546849999999",n
-97.16769034,49.93104845,Young's Market,Young's Market,1000 McPhillips Street,Winnipeg,Manitoba,,Canada,google maps,0,243735462,"Young's Market, 1000, McPhillips Street, Shaughnessy Park, Point Douglas, Winnipeg, Manitoba, R2X 2K4, Canada",shop,supermarket,"49.931048450000006,-97.16769034125136",n
-97.10910646,49.8261576,MADINA SUPERMARKET AND HALAL MEAT,MADINA SUPERMARKET AND HALAL MEAT,166 Meadowood Drive,Winnipeg,Manitoba,R2M 2S6,Canada,google maps,0,289426137,"166, Meadowood Drive, St. Vital Centre, St. Vital, Winnipeg, Manitoba, R2M 5G8, Canada",building,commercial,"49.8261576,-97.10910645753904",n
-97.1509643,49.9006998,Dino's Grocery Mart,Dino's Grocery Mart,84 Isabel Street,Winnipeg,Manitoba,R3A 1E9,Canada,google maps,0,905956334,"Dino's Grocery Mart, 84, Isabel Street, West Alexander, Point Douglas, Winnipeg, Manitoba, R3A 1G4, Canada",shop,supermarket,"49.9006998,-97.1509643",n
-97.13363672,49.86297595,Safeway,Safeway Osborne and Kylemore,655 Osborne Avenue,Winnipeg,Manitoba,R3L2B7,Canada,https://www.safeway.ca/store-locator,0,12138987403,"Nature Conservancy Canada, 611, Corydon Avenue, McMillan, Fort Rouge–East Fort Garry, Winnipeg, Manitoba, R3M 0V1, Canada",office,yes,"49.86297595016868, -97.13363672271981",y
-97.08969097,49.87043142,IGA,IGA Windsor Park,650 Elizabeth Road,Winnipeg,Manitoba,R2J 1A4,Canada,https://west.iga.ca/store-locator/,0,32456332,"Elizabeth Road, Maginot, St. Boniface, Winnipeg, Manitoba, R2J 1J9, Canada",highway,tertiary,"49.87043142417073, -97.08969096520654",y
-97.15411487,49.84043647,FreshCo,FreshCo Pembina & McGillivray,1319 Pembina Highway,Winnipeg,Manitoba,R3T2B6,Canada,https://www.freshco.com/store-locator,0,1365657089,"Pembina Highway, Fort Richmond, St. Norbert - Seine River, Winnipeg, Manitoba, R3T 3L9, Canada",highway,primary,"49.840436470760764, -97.1541148715292",y
-97.2024535,49.88945591,Save-on-foods,St James,850 St. James Street,Winnipeg,Manitoba,R3G 3L7,Canada,https://www.saveonfoods.com/sm/planning/rsid/1982/store,0,32709887,"St. James Street, St. James Industrial, St. James, Winnipeg, Manitoba, R3H 0H6, Canada",highway,secondary,"49.88945591367006, -97.20245350136443",y
-97.19416103,49.89714611,Wal-mart,"C. Winnipeg, Manitoba",1001 Empress Street,Winnipeg,Manitoba,R3G 3P8,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N1,0,473302035,"Empress Street, St. James Industrial, St. James, Winnipeg, Manitoba, R3E 2Z9, Canada",highway,tertiary,"49.89714610569413, -97.19416103205263",y
-97.14387817,49.89562835,Giant Tiger,Giant Tiger,345 Donald Street,Winnipeg,Manitoba,R3B 2J1,Canada,giant tiger website,0,1095034132,"Donald Street, South Portage, Fort Rouge–East Fort Garry, Winnipeg, Manitoba, R3C 3P5, Canada",highway,primary,"49.8956283548719, -97.14387817252825",y
-97.08039889,49.9110666,Giant Tiger,Giant Tiger,507 London Street,Winnipeg,Manitoba,R2K 2Z4,Canada,giant tiger website,0,1189484539,"London Street, Munroe East, Elmwood - East Kildonan, Winnipeg, Manitoba, R2K 2Z4, Canada",highway,residential,"49.91106660113595, -97.08039888903237",y
